season,week,contestant,interval_width,certainty,point_estimate,voting_method,has_judges_save,rule_era
7,2,Susan Lucci,0.9803921568627452,0.019607843137254832,0.0,percent,False,Percent Era (S3-27)
7,2,Maurice Greene,0.9803921568627452,0.019607843137254832,0.0,percent,False,Percent Era (S3-27)
7,2,Cody Linley,0.9803921568627452,0.019607843137254832,0.9803901568627451,percent,False,Percent Era (S3-27)
7,2,Toni Braxton,0.9803921568627452,0.019607843137254832,0.0,percent,False,Percent Era (S3-27)
7,2,Rocco DiSpirito,0.9803941568627452,0.019605843137254775,0.0065369477124182914,percent,False,Percent Era (S3-27)
7,2,Misty May-Treanor,0.9803921568627452,0.019607843137254832,0.0,percent,False,Percent Era (S3-27)
7,2,Cloris Leachman,0.9803941568627451,0.019605843137254886,0.013072895424836596,percent,False,Percent Era (S3-27)
7,2,Kim Kardashian,0.1388891388888889,0.8611108611111111,0.0,percent,False,Percent Era (S3-27)
7,4,Susan Lucci,1.0,0.0,0.0,percent,False,Percent Era (S3-27)
7,4,Maurice Greene,1.0,0.0,0.0,percent,False,Percent Era (S3-27)
7,4,Cody Linley,1.0,0.0,1.0,percent,False,Percent Era (S3-27)
7,4,Toni Braxton,1.0,0.0,0.0,percent,False,Percent Era (S3-27)
7,4,Rocco DiSpirito,0.19379878294573644,0.8062012170542636,0.0,percent,False,Percent Era (S3-27)
7,4,Cloris Leachman,1.0,0.0,0.0,percent,False,Percent Era (S3-27)
7,5,Susan Lucci,0.9916676666666667,0.008332333333333275,1e-06,percent,False,Percent Era (S3-27)
7,5,Maurice Greene,0.9916666666666667,0.008333333333333304,0.9916646666666666,percent,False,Percent Era (S3-27)
7,5,Cody Linley,0.9916666666666667,0.008333333333333304,0.0,percent,False,Percent Era (S3-27)
7,5,Toni Braxton,0.21666706666666666,0.7833329333333333,0.0,percent,False,Percent Era (S3-27)
7,5,Cloris Leachman,0.9916676666666666,0.008332333333333386,0.00833433333333333,percent,False,Percent Era (S3-27)
7,6,Cloris Leachman,0.3170736707317073,0.6829263292682928,0.0,percent,False,Percent Era (S3-27)
7,6,Susan Lucci,1.0,0.0,0.0,percent,False,Percent Era (S3-27)
7,6,Maurice Greene,1.0,0.0,0.0,percent,False,Percent Era (S3-27)
7,6,Cody Linley,1.0,0.0,1.0,percent,False,Percent Era (S3-27)
7,7,Susan Lucci,0.32863916431924883,0.6713608356807512,0.0,percent,False,Percent Era (S3-27)
7,7,Maurice Greene,0.971831985915493,0.028168014084506976,0.971829985915493,percent,False,Percent Era (S3-27)
7,7,Cody Linley,0.9718319859154929,0.028168014084507087,0.02817001408450706,percent,False,Percent Era (S3-27)
7,8,Maurice Greene,0.500001,0.49999899999999997,-0.0,percent,False,Percent Era (S3-27)
7,8,Cody Linley,0.5000009999999999,0.4999990000000001,1.0,percent,False,Percent Era (S3-27)
8,2,David Alan Grier,0.9680851063829787,0.03191489361702127,0.005320148936170207,percent,False,Percent Era (S3-27)
8,2,Steve Wozniak,0.9680851063829786,0.03191489361702138,0.005320148936170207,percent,False,Percent Era (S3-27)
8,2,Steve-O,0.9680851063829787,0.03191489361702127,0.021277595744680855,percent,False,Percent Era (S3-27)
8,2,Lil' Kim,0.9680831063829788,0.031916893617021214,0.0,percent,False,Percent Era (S3-27)
8,2,Lawrence Taylor,0.9680831063829788,0.031916893617021214,0.0,percent,False,Percent Era (S3-27)
8,2,Denise Richards,0.9680831063829788,0.031916893617021214,0.9680811063829787,percent,False,Percent Era (S3-27)
8,2,Chuck Wicks,0.9680831063829788,0.031916893617021214,0.0,percent,False,Percent Era (S3-27)
8,2,Belinda Carlisle,0.10425551914893616,0.8957444808510638,0.0,percent,False,Percent Era (S3-27)
8,2,Holly Madison,0.9680841063829788,0.031915893617021185,1e-06,percent,False,Percent Era (S3-27)
8,2,Ty Murray,0.9680831063829788,0.031916893617021214,0.0,percent,False,Percent Era (S3-27)
8,3,David Alan Grier,0.9595375722543353,0.040462427745664664,0.0,percent,False,Percent Era (S3-27)
8,3,Steve Wozniak,0.9595395722543353,0.04046042774566472,0.03468308092485549,percent,False,Percent Era (S3-27)
8,3,Steve-O,0.9595395722543353,0.04046042774566472,0.9653169190751445,percent,False,Percent Era (S3-27)
8,3,Lil' Kim,0.9595375722543353,0.040462427745664664,0.0,percent,False,Percent Era (S3-27)
8,3,Lawrence Taylor,0.9595375722543353,0.040462427745664664,0.0,percent,False,Percent Era (S3-27)
8,3,Denise Richards,0.1297368953114965,0.8702631046885035,0.0,percent,False,Percent Era (S3-27)
8,3,Chuck Wicks,0.9595375722543353,0.040462427745664664,0.0,percent,False,Percent Era (S3-27)
8,3,Holly Madison,0.9595375722543353,0.040462427745664664,0.0,percent,False,Percent Era (S3-27)
8,3,Ty Murray,0.9595375722543353,0.040462427745664664,0.0,percent,False,Percent Era (S3-27)
8,4,David Alan Grier,0.9936718860759494,0.006328113924050638,0.9936698860759494,percent,False,Percent Era (S3-27)
8,4,Steve Wozniak,0.19529865822784812,0.8047013417721519,0.0,percent,False,Percent Era (S3-27)
8,4,Steve-O,0.9936718860759494,0.006328113924050638,0.006330113924050625,percent,False,Percent Era (S3-27)
8,4,Lil' Kim,0.9936718860759494,0.006328113924050638,0.0,percent,False,Percent Era (S3-27)
8,4,Lawrence Taylor,0.9936718860759494,0.006328113924050638,0.0,percent,False,Percent Era (S3-27)
8,4,Chuck Wicks,0.9936718860759494,0.006328113924050638,0.0,percent,False,Percent Era (S3-27)
8,4,Holly Madison,0.17359883905967452,0.8264011609403255,0.0,percent,False,Percent Era (S3-27)
8,4,Ty Murray,0.9936718860759494,0.006328113924050638,0.0,percent,False,Percent Era (S3-27)
8,5,David Alan Grier,0.16410289743589743,0.8358971025641025,0.0,percent,False,Percent Era (S3-27)
8,5,Steve-O,0.9461548461538463,0.05384515384615374,0.030770230769230772,percent,False,Percent Era (S3-27)
8,5,Lil' Kim,0.9461528461538462,0.053847153846153795,0.9461508461538461,percent,False,Percent Era (S3-27)
8,5,Lawrence Taylor,0.9461548461538462,0.05384515384615385,0.015385615384615385,percent,False,Percent Era (S3-27)
8,5,Chuck Wicks,0.9461528461538462,0.053847153846153795,0.0,percent,False,Percent Era (S3-27)
8,5,Ty Murray,0.9461548461538462,0.05384515384615385,0.007693307692307693,percent,False,Percent Era (S3-27)
8,6,Steve-O,0.25046768971962613,0.7495323102803739,0.0,percent,False,Percent Era (S3-27)
8,6,Lil' Kim,1.0,0.0,0.0,percent,False,Percent Era (S3-27)
8,6,Lawrence Taylor,1.0,0.0,0.0,percent,False,Percent Era (S3-27)
8,6,Chuck Wicks,1.0,0.0,1.0,percent,False,Percent Era (S3-27)
8,6,Ty Murray,1.0,0.0,0.0,percent,False,Percent Era (S3-27)
8,7,Lawrence Taylor,0.28571478571428566,0.7142852142857143,0.0,percent,False,Percent Era (S3-27)
8,7,Chuck Wicks,1.0,0.0,0.0,percent,False,Percent Era (S3-27)
8,7,Lil' Kim,1.0,0.0,0.0,percent,False,Percent Era (S3-27)
8,7,Ty Murray,1.0,0.0,1.0,percent,False,Percent Era (S3-27)
8,8,Chuck Wicks,0.3459126163522012,0.6540873836477987,0.0,percent,False,Percent Era (S3-27)
8,8,Lil' Kim,1.0,0.0,1.0,percent,False,Percent Era (S3-27)
8,8,Ty Murray,1.0,0.0,0.0,percent,False,Percent Era (S3-27)
8,9,Lil' Kim,0.46938875510204076,0.5306112448979592,-0.0,percent,False,Percent Era (S3-27)
8,9,Ty Murray,0.4693887551020409,0.5306112448979591,1.0,percent,False,Percent Era (S3-27)
9,1,Macy Gray,0.10111491084190977,0.8988850891580902,0.0,percent,False,Percent Era (S3-27)
9,1,Natalie Coughlin,1.0,0.0,0.0,percent,False,Percent Era (S3-27)
9,1,Debi Mazar,1.0,0.0,0.0,percent,False,Percent Era (S3-27)
9,1,Tom DeLay,1.0,0.0,0.0,percent,False,Percent Era (S3-27)
9,1,Mark Dacascos,1.0,0.0,0.0,percent,False,Percent Era (S3-27)
9,1,Michael Irvin,1.0,0.0,6.815274453318411e-07,percent,False,Percent Era (S3-27)
9,1,Louie Vito,1.0,0.0,0.0,percent,False,Percent Era (S3-27)
9,1,Ashley Hamiliton,0.10111491084190977,0.8988850891580902,0.0,percent,False,Percent Era (S3-27)
9,1,Melissa Joan Hart,1.0,0.0,0.9999993184725546,percent,False,Percent Era (S3-27)
9,1,Chuck Liddell,1.0,0.0,0.0,percent,False,Percent Era (S3-27)
9,1,Joanna Krupa,1.0,0.0,0.0,percent,False,Percent Era (S3-27)
9,1,Aaron Carter,1.0,0.0,0.0,percent,False,Percent Era (S3-27)
9,1,Kathy Ireland,1.0,0.0,0.0,percent,False,Percent Era (S3-27)
9,2,Natalie Coughlin,1.0,0.0,0.0,percent,False,Percent Era (S3-27)
9,2,Debi Mazar,1.0,0.0,0.999999,percent,False,Percent Era (S3-27)
9,2,Tom DeLay,1.0,0.0,1e-06,percent,False,Percent Era (S3-27)
9,2,Mark Dacascos,1.0,0.0,0.0,percent,False,Percent Era (S3-27)
9,2,Michael Irvin,1.0,0.0,0.0,percent,False,Percent Era (S3-27)
9,2,Louie Vito,1.0,0.0,0.0,percent,False,Percent Era (S3-27)
9,2,Melissa Joan Hart,1.0,0.0,0.0,percent,False,Percent Era (S3-27)
9,2,Chuck Liddell,1.0,0.0,0.0,percent,False,Percent Era (S3-27)
