season,week,old_eliminated,new_eliminated,outcome_changed
20,7,Willow Shields,Chris Soules,True
20,8,Robert Herjavec,Robert Herjavec,False
21,2,Victor Espinoza,Chaka Khan,True
21,4,Gary Busey,Gary Busey,False
21,6,Paula Deen,Paula Deen,False
21,7,Hayes Grier,Tamar Braxton,True
21,8,Andy Grammer,Andy Grammer,False
21,9,Alexa PenaVega,Tamar Braxton,True
22,2,Geraldo Rivera,Geraldo Rivera,False
22,3,Mischa Barton,Mischa Barton,False
22,4,Marla Maples,Doug Flutie,True
22,6,Doug Flutie,Doug Flutie,False
22,7,Kim Fields,Jodie Sweetin,True
22,8,Jodie Sweetin,Wanya Morris,True
23,2,Jake T. Austin,Rick Perry,True
23,3,Rick Perry,Rick Perry,False
23,4,Babyface,Babyface,False
23,6,Amber Rose,Amber Rose,False
23,7,Maureen McCormick,Marilu Henner,True
23,8,Ryan Lochte,Marilu Henner,True
23,9,Marilu Henner,Marilu Henner,False
23,10,Terra Jole,Jana Kramer,True
24,2,Chris Kattan,Chris Kattan,False
24,3,Charo,Charo,False
24,4,Mr. T,Mr. T,False
24,5,Erika Jayne,Bonner Bolton,True
24,6,Heather Morris,Nick Viall,True
24,7,Nancy Kerrigan,Bonner Bolton,True
24,8,Bonner Bolton,Bonner Bolton,False
25,2,Barbara Corcoran,Barbara Corcoran,False
25,4,Derek Fisher,Nick Lachey,True
25,5,Sasha Pieterse,Nick Lachey,True
25,6,Nick Lachey,Nick Lachey,False
25,7,Nikki Bella,Nikki Bella,False
25,8,Terrell Owens,Drew Scott,True
25,9,Victoria Arlen,Drew Scott,True
26,1,Jamie Anderson,Kareem Abdul-Jabbar,True
26,2,Kareem Abdul-Jabbar,Kareem Abdul-Jabbar,False
27,1,Nikki Glaser,Joe Amabile,True
27,2,Danelle Umstead,Joe Amabile,True
27,3,Nancy McKeon,Joe Amabile,True
27,4,Tinashe,Joe Amabile,True
27,6,Mary Lou Retton,John Schneider,True
27,7,John Schneider,Joe Amabile,True
28,2,Mary Wilson,Lamar Odom,True
28,4,Lamar Odom,Lamar Odom,False
28,6,Sailor Brinkley-Cook,Sean Spicer,True
28,7,Karamo Brown,Sean Spicer,True
28,8,Kate Flannery,Sean Spicer,True
28,9,Sean Spicer,Sean Spicer,False
29,2,Charles Oakley,Skai Jackson,True
29,3,Carole Baskin,Carole Baskin,False
29,4,Anne Heche,Jesse Metcalfe,True
29,5,Jesse Metcalfe,Jesse Metcalfe,False
29,6,Veron Davis,Skai Jackson,True
29,7,Monica Aldama,Monica Aldama,False
29,8,Chrishell Stause,Skai Jackson,True
29,9,AJ McLean,AJ McLean,False
30,2,Martin Kove,Martin Kove,False
30,3,Christine Chiu,Brian Austin Green,True
30,4,Brian Austin Green,Brian Austin Green,False
30,5,Melanie C,"Mike ""The Miz"" Mizanin",True
30,6,Kenya Moore,Kenya Moore,False
30,7,"Mike ""The Miz"" Mizanin","Mike ""The Miz"" Mizanin",False
30,8,Jimmie Allen,Jimmie Allen,False
31,1,Jason Lewis,Vinny Guadagnino,True
31,2,Teresa Giudice,Cheryl Ladd,True
31,3,Cheryl Ladd,Vinny Guadagnino,True
31,4,Sam Champion,Sam Champion,False
31,5,Joseph Baena,Vinny Guadagnino,True
31,6,Jessie James Decker,Vinny Guadagnino,True
31,7,Jordin Sparks,Vinny Guadagnino,True
31,8,Heidi D'Amelio,Vinny Guadagnino,True
32,1,Matt Walsh,Harry Jowsey,True
32,2,Jamie Lynn Spears,Mauricio Umansky,True
32,3,Tyson Beckford,Tyson Beckford,False
32,4,Adrian Peterson,Barry Williams,True
32,5,Mira Sorvino,Harry Jowsey,True
32,6,Mauricio Umansky,Harry Jowsey,True
32,7,Lele Pons,Harry Jowsey,True
32,8,Barry Williams,Harry Jowsey,True
33,2,Tori Spelling,Eric Roberts,True
33,3,Eric Roberts,Reginald VelJohnson,True
33,4,Brooks Nader,Dwight Howard ,True
33,5,Phaedra Parks,Phaedra Parks,False
33,6,Jenn Tran,Jenn Tran,False
34,2,Corey Feldman,Andy Richter,True
34,3,Lauren Jauregui,Andy Richter,True
34,4,Hilaria Baldwin,Andy Richter,True
34,6,Scott Hoying,Andy Richter,True
34,7,Jen Affleck,Andy Richter,True
34,8,Danielle Fishel,Andy Richter,True
34,9,Andy Richter,Andy Richter,False
